"user";"domain";"id";"centra";"department";"title";"status";"completion_fraction";"creation_date";"last_update_date";"template"
"py";"Domain2";1;"cntr3";"dptE";"Enhancing Data Management Practices";"Missing Metadata";0,0466699926182628;2020-09-09;2025-07-24;"v2024"
"ru";"Domain1";2;"cntr2";"dptD";"Enhancing Data Management Practices";"Test";0,823468044633046;2021-07-13;2023-04-08;"v2022"
"gw";"Domain2";3;"cntr4";"dptG";"Data-Driven Insights";"Expired";0,966285669011995;2025-08-14;2025-09-17;"v2021"
"uf";"Domain2";4;"cntr4";"dptH";"Advanced Research Techniques";"Not Updated";0,807395789306611;2022-07-22;2025-01-19;"v2024"
"hm";"Domain1";5;"cntr2";"dptC";"Innovative Project Solutions";"Test";0,296252726344392;2024-03-08;2024-10-06;"v2021"
"en";"Domain3";6;"cntr5";"dptJ";"Innovative Project Solutions";"Not Updated";0,197892070980743;2025-07-11;2025-09-26;"v2022"
"lm";"Domain1";7;"cntr2";"dptC";"Data-Driven Insights";"Test";0,201672925846651;2024-05-10;2024-11-05;"v2021"
"iu";"Domain2";8;"cntr4";"dptG";"Enhancing Data Management Practices";"Missing Metadata";0,349512686487287;2022-04-08;2024-07-31;"v2021"
"jj";"Domain2";9;"cntr4";"dptH";"Enhancing Data Management Practices";"Active";0,224084863439202;2024-04-07;2024-07-28;"v2021"
"an";"Domain1";10;"cntr2";"dptD";"Data-Driven Insights";"Completed";0,164491710020229;2022-02-24;2022-03-25;"v2021"
"oj";"Domain2";11;"cntr3";"dptE";"Enhancing Data Management Practices";"Orphan";0,0927299510221928;2025-06-22;2025-07-26;"v2021"
"zo";"Domain1";12;"cntr2";"dptD";"Enhancing Data Management Practices";"Missing Metadata";0,632899892982095;2023-12-19;2024-07-11;"v2024"
"xd";"Domain1";13;"cntr2";"dptC";"Comprehensive Analysis Framework";"Completed";0,784788343356922;2020-08-10;2024-11-09;"v2024"
"xe";"Domain2";14;"cntr3";"dptF";"Enhancing Data Management Practices";"Orphan";0,0594892981462181;2025-02-18;2025-02-28;"v2022"
"dm";"Domain2";15;"cntr4";"dptH";"Innovative Project Solutions";"Missing Metadata";0,084299654699862;2023-02-14;2024-07-10;"v2024"
"nj";"Domain2";16;"cntr3";"dptE";"Advanced Research Techniques";"Missing Metadata";0,00427772384136915;2022-11-02;2025-02-19;"v2024"
"yy";"Domain2";17;"cntr3";"dptF";"Comprehensive Analysis Framework";"Completed";0,142220714827999;2023-05-07;2023-07-04;"v2024"
"nq";"Domain3";18;"cntr5";"dptI";"Advanced Research Techniques";"Defunct";0,929193703690544;2024-11-25;2025-01-07;"v2022"
"az";"Domain1";19;"cntr1";"dptA";"Enhancing Data Management Practices";"Expired";0,161884823115543;2020-08-03;2024-07-28;"v2024"
"ty";"Domain1";20;"cntr1";"dptB";"Innovative Project Solutions";"Expired";0,988501149928197;2021-03-03;2023-07-12;"v2021"
"qj";"Domain1";21;"cntr2";"dptC";"Comprehensive Analysis Framework";"Test";0,704223259584978;2023-01-29;2024-09-04;"v2021"
"zj";"Domain1";22;"cntr1";"dptA";"Advanced Research Techniques";"Missing Metadata";0,324542554793879;2021-06-09;2021-06-23;"v2022"
"ic";"Domain3";23;"cntr6";"dptL";"Enhancing Data Management Practices";"Defunct";0,328085233457386;2024-10-14;2024-11-17;"v2024"
"wr";"Domain2";24;"cntr4";"dptG";"Innovative Project Solutions";"Completed";0,776702075731009;2023-09-29;2024-10-24;"v2021"
"wu";"Domain1";25;"cntr1";"dptA";"Innovative Project Solutions";"Expired";0,498603128129616;2023-11-29;2025-07-22;"v2024"
"vi";"Domain1";26;"cntr1";"dptB";"Data-Driven Insights";"Missing Metadata";0,497006849851459;2020-06-04;2025-08-15;"v2021"
"oi";"Domain3";27;"cntr6";"dptL";"Data-Driven Insights";"Test";0,266374840168282;2022-09-27;2025-07-17;"v2022"
"fm";"Domain3";28;"cntr6";"dptL";"Advanced Research Techniques";"Defunct";0,92980143497698;2024-12-28;2025-08-23;"v2024"
"ux";"Domain1";29;"cntr1";"dptA";"Data-Driven Insights";"Orphan";0,677545783109963;2021-02-27;2024-08-04;"v2021"
"sv";"Domain1";30;"cntr1";"dptA";"Advanced Research Techniques";"Orphan";0,710259832208976;2024-09-01;2025-06-12;"v2024"
"xw";"Domain2";31;"cntr3";"dptE";"Data-Driven Insights";"Defunct";0,281794074689969;2025-08-24;2025-09-14;"v2021"
"aw";"Domain3";32;"cntr5";"dptI";"Comprehensive Analysis Framework";"Expired";0,580691942945123;2022-12-14;2023-05-13;"v2022"
"lw";"Domain1";33;"cntr1";"dptB";"Innovative Project Solutions";"Orphan";0,954256804427132;2020-11-16;2023-01-23;"v2021"
"fe";"Domain1";34;"cntr2";"dptD";"Comprehensive Analysis Framework";"Not Updated";0,0359985483810306;2022-11-12;2024-03-21;"v2024"
"ip";"Domain3";35;"cntr5";"dptJ";"Comprehensive Analysis Framework";"Completed";0,510235942201689;2022-07-31;2024-10-01;"v2021"
"gj";"Domain1";36;"cntr1";"dptB";"Comprehensive Analysis Framework";"Expired";0,860585955437273;2022-08-21;2025-09-30;"v2024"
"ii";"Domain2";37;"cntr3";"dptF";"Advanced Research Techniques";"Expired";0,277492366963997;2024-11-09;2025-02-06;"v2022"
"ld";"Domain2";38;"cntr3";"dptF";"Advanced Research Techniques";"Missing Metadata";0,362849079770967;2020-10-16;2023-05-09;"v2024"
"wi";"Domain3";39;"cntr6";"dptK";"Data-Driven Insights";"Orphan";0,916517503093928;2025-06-22;2025-06-24;"v2021"
"ct";"Domain1";40;"cntr2";"dptD";"Advanced Research Techniques";"Active";0,0802353743929416;2023-11-03;2025-08-23;"v2021"
"wp";"Domain3";41;"cntr6";"dptL";"Comprehensive Analysis Framework";"Missing Metadata";0,512724637286738;2024-12-03;2025-03-16;"v2024"
"wc";"Domain1";42;"cntr1";"dptB";"Enhancing Data Management Practices";"Not Updated";0,420037846080959;2023-02-09;2024-09-27;"v2021"
"fk";"Domain3";43;"cntr6";"dptK";"Advanced Research Techniques";"Missing Metadata";0,158049466554075;2020-10-01;2023-12-10;"v2021"
"fw";"Domain3";44;"cntr5";"dptJ";"Enhancing Data Management Practices";"Test";0,449557990999892;2021-05-21;2021-10-11;"v2024"
"lh";"Domain1";45;"cntr1";"dptA";"Enhancing Data Management Practices";"Active";0,169620736502111;2025-04-16;2025-07-15;"v2021"
"kq";"Domain3";46;"cntr5";"dptJ";"Enhancing Data Management Practices";"Completed";0,855247208615765;2024-01-18;2025-01-06;"v2021"
"zy";"Domain3";47;"cntr5";"dptI";"Data-Driven Insights";"Not Updated";0,688133171061054;2021-05-28;2024-06-14;"v2024"
"bo";"Domain3";48;"cntr5";"dptJ";"Advanced Research Techniques";"Defunct";0,121525236405432;2020-05-06;2025-06-21;"v2022"
"qo";"Domain3";49;"cntr6";"dptK";"Data-Driven Insights";"Not Updated";0,119116011308506;2021-01-24;2024-05-22;"v2024"
"dl";"Domain3";50;"cntr6";"dptK";"Innovative Project Solutions";"Orphan";0,288543877657503;2025-10-05;2025-10-05;"v2022"
"md";"Domain2";51;"cntr3";"dptE";"Innovative Project Solutions";"Not Updated";0,940235597081482;2021-09-28;2023-04-28;"v2021"
"io";"Domain3";52;"cntr5";"dptI";"Data-Driven Insights";"Not Updated";0,931640369584784;2021-03-21;2024-10-06;"v2022"
"uh";"Domain2";53;"cntr4";"dptH";"Innovative Project Solutions";"Expired";0,182928508846089;2023-04-28;2025-06-17;"v2022"
"el";"Domain3";54;"cntr5";"dptI";"Innovative Project Solutions";"Missing Metadata";0,912873741006479;2021-08-30;2021-10-09;"v2021"
"xh";"Domain2";55;"cntr4";"dptH";"Advanced Research Techniques";"Expired";0,0664578315336257;2022-06-14;2025-04-26;"v2021"
"rn";"Domain1";56;"cntr2";"dptD";"Innovative Project Solutions";"Orphan";0,877628769725561;2025-04-13;2025-08-17;"v2021"
"wz";"Domain1";57;"cntr2";"dptD";"Data-Driven Insights";"Orphan";0,0588105244096369;2020-04-04;2021-09-26;"v2024"
"bm";"Domain3";58;"cntr5";"dptJ";"Advanced Research Techniques";"Defunct";0,951695873402059;2025-01-26;2025-09-24;"v2021"
"gc";"Domain1";59;"cntr1";"dptA";"Innovative Project Solutions";"Test";0,160069407895207;2023-02-06;2025-03-12;"v2024"
"ia";"Domain2";60;"cntr4";"dptG";"Enhancing Data Management Practices";"Missing Metadata";0,580835356609896;2023-07-04;2023-10-04;"v2021"
"zp";"Domain1";61;"cntr1";"dptA";"Enhancing Data Management Practices";"Orphan";0,711416690144688;2023-11-06;2024-04-09;"v2022"
"bh";"Domain2";62;"cntr4";"dptH";"Comprehensive Analysis Framework";"Test";0,280322518199682;2021-04-09;2024-06-13;"v2021"
"tv";"Domain2";63;"cntr3";"dptE";"Innovative Project Solutions";"Expired";0,0266316782217473;2020-11-07;2023-11-28;"v2024"
"am";"Domain1";64;"cntr2";"dptC";"Innovative Project Solutions";"Active";0,71062245243229;2021-11-20;2024-06-24;"v2024"
"cq";"Domain1";65;"cntr1";"dptB";"Enhancing Data Management Practices";"Missing Metadata";0,312746818875894;2024-04-21;2024-07-27;"v2022"
"ps";"Domain2";66;"cntr3";"dptE";"Advanced Research Techniques";"Defunct";0,855137056205422;2025-09-23;2025-09-26;"v2022"
